FC6,C4,CP6,CP5,FC5,C3
-318659.6875,202609.390625,-291948.5625,14852.73828125,-344985.375,128625.6171875
-318666.75,202630.875,-291939.375,14827.009765625,-344982.4375,128610.21875
-318634.5625,202631.40625,-291951.4375,14795.244140625,-345010.71875,128598.375
-318589.125,202648.078125,-291957.25,14799.87890625,-345017.5,128588.53125
-318543.4375,202672.21875,-291927.40625,14802.939453125,-345005.75,128592.8671875
-318540.0,202662.171875,-291941.5625,14800.3212890625,-345012.5,128574.9375
-318555.0625,202666.0625,-291935.21875,14803.2421875,-345013.78125,128581.3515625
-318573.0625,202666.0625,-291914.4375,14818.3564453125,-344996.9375,128604.546875
-318629.375,202656.671875,-291941.6875,14813.783203125,-345008.75,128593.671875
-318652.8125,202638.90625,-291958.90625,14810.16015625,-345040.125,128592.1328125
-318640.71875,202607.1875,-291965.4375,14787.427734375,-345041.90625,128596.359375
-318629.65625,202599.0625,-291986.96875,14751.123046875,-345046.53125,128572.265625
-318618.5625,202600.953125,-292011.1875,14752.259765625,-345067.40625,128557.21875
-318594.53125,202613.375,-292016.9375,14770.21875,-345056.3125,128575.90625
-318594.15625,202602.578125,-292020.125,14779.3359375,-345046.40625,128574.484375
-318610.4375,202594.125,-292014.90625,14793.45703125,-345035.03125,128574.015625
-318616.4375,202563.46875,-292018.875,14776.5009765625,-345026.25,128556.5625
-318628.8125,202537.9375,-292035.125,14745.759765625,-345027.34375,128540.7578125
-318670.1875,202529.28125,-292024.75,14742.943359375,-345021.28125,128540.890625
-318694.03125,202505.390625,-292007.0625,14735.1943359375,-345022.4375,128548.3203125
-318694.53125,202498.421875,-291990.875,14743.845703125,-345009.1875,128583.0390625
-318709.125,202495.78125,-291995.5625,14756.142578125,-344997.125,128595.03125
-318679.125,202474.21875,-292055.0625,14751.4033203125,-345007.6875,128576.7265625
-318643.1875,202453.84375,-292104.4375,14747.4453125,-345015.34375,128548.4140625
-318625.21875,202433.3125,-292123.6875,14720.7734375,-345035.625,128513.34375
-318646.53125,202398.203125,-292139.625,14687.13671875,-345046.28125,128474.8515625
-318645.09375,202382.34375,-292123.03125,14689.5703125,-345022.5,128458.2265625
-318638.5625,202381.53125,-292102.875,14701.09765625,-344993.5625,128477.234375
-318683.5,202369.8125,-292119.90625,14712.044921875,-344990.46875,128493.6328125
-318710.6875,202324.25,-292130.78125,14718.1455078125,-344979.0625,128510.109375
-318736.375,202289.40625,-292164.3125,14712.861328125,-344978.4375,128524.28125
-318759.21875,202260.09375,-292200.15625,14718.04296875,-345004.4375,128546.328125
-318765.0625,202228.71875,-292226.75,14721.509765625,-345015.8125,128559.78125
-318734.78125,202206.53125,-292242.375,14734.341796875,-345029.125,128552.09375
-318728.40625,202167.078125,-292259.1875,14727.48046875,-345040.3125,128565.2265625
-318772.75,202137.84375,-292275.96875,14715.71875,-345019.5,128573.390625
-318790.5625,202132.484375,-292269.3125,14711.3095703125,-344980.5,128584.2734375
-318800.46875,202161.859375,-292254.5,14714.189453125,-344986.5625,128615.4609375
-318839.5625,202176.578125,-292255.53125,14736.80859375,-344986.3125,128623.7890625
-318856.09375,202182.0625,-292246.3125,14744.83203125,-344987.75,128614.15625
-318858.1875,202205.09375,-292235.625,14771.935546875,-345000.8125,128617.34375
-318867.0,202208.453125,-292231.6875,14773.197265625,-344997.5625,128624.125
-318847.875,202215.21875,-292207.34375,14760.978515625,-345033.3125,128600.109375
-318825.125,202210.03125,-292229.1875,14734.283203125,-345073.9375,128575.78125
-318804.9375,202201.546875,-292218.4375,14687.603515625,-345085.71875,128549.9375
-318802.9375,202207.421875,-292198.0625,14695.9091796875,-345111.34375,128516.390625
-318844.15625,202233.78125,-292176.0,14723.9326171875,-345119.625,128510.421875
-318867.375,202266.375,-292137.3125,14731.791015625,-345108.0625,128510.265625
-318890.6875,202264.0,-292151.875,14731.169921875,-345125.65625,128512.3125
-318897.5625,202269.609375,-292163.1875,14746.9140625,-345119.6875,128530.015625
-318872.75,202303.1875,-292151.5625,14734.6015625,-345099.46875,128539.796875
-318840.375,202350.828125,-292128.1875,14725.7900390625,-345102.96875,128542.421875
-318825.3125,202377.96875,-292112.9375,14700.443359375,-345122.96875,128532.0
-318802.15625,202395.84375,-292105.25,14678.029296875,-345144.21875,128521.4375
-318764.0625,202400.515625,-292103.1875,14674.8408203125,-345143.21875,128523.078125
-318733.3125,202417.3125,-292094.4375,14670.4501953125,-345142.3125,128517.5546875
-318717.4375,202456.296875,-292066.3125,14701.0498046875,-345145.5,128513.2734375
-318710.0625,202484.46875,-292035.8125,14703.421875,-345117.4375,128529.8984375
-318727.625,202514.8125,-292028.46875,14704.18359375,-345078.0625,128568.765625
-318750.6875,202514.9375,-292027.9375,14721.853515625,-345060.125,128573.6875
-318727.625,202498.09375,-292024.4375,14720.6025390625,-345050.4375,128569.1875
-318696.1875,202495.375,-292040.875,14692.345703125,-345052.6875,128546.671875
-318683.4375,202508.75,-292039.125,14691.8740234375,-345081.9375,128517.75
-318646.625,202487.9375,-292051.9375,14679.822265625,-345083.1875,128509.2265625
-318625.5625,202481.328125,-292060.3125,14661.171875,-345055.59375,128511.4140625
-318653.0,202494.25,-292052.5,14664.6767578125,-345020.90625,128522.7734375
-318661.3125,202483.53125,-292051.375,14669.8095703125,-345006.125,128545.203125
-318673.1875,202510.890625,-292048.53125,14731.9501953125,-344996.5,128577.265625
-318697.6875,202540.0625,-292032.5625,14776.640625,-344972.75,128591.953125
-318692.9375,202556.875,-292028.3125,14785.7724609375,-344967.3125,128611.125
-318657.3125,202552.96875,-292016.0,14788.1923828125,-344953.125,128624.8359375
-318644.5,202553.0625,-292022.1875,14777.896484375,-344959.0625,128607.90625
-318646.46875,202532.34375,-292045.1875,14773.10546875,-344962.3125,128600.4140625
-318642.03125,202491.9375,-292059.4375,14771.2900390625,-344989.375,128583.796875
